,seq1,seq2,label,0_rate,1_rate
0,劳动行政部门应该怎么处理用人单位不按照劳动合同法规定，扣押劳动者居民身份证等证件的情况,用人单位违反劳动合同法规定，扣押劳动者居民身份证等证件的，人事行政部门应当如何处理,0,0.0014143748000000002,0.9985857
1,我开车发生交通事故，我全责怎么办,我把人追尾了，怎么办,1,0.9870841999999999,0.01291573
2,离婚时夫妻一方婚前个人财产能不能作为婚后共同财产进行分割,离婚时夫妻一方婚前个人财产可以作为婚后共同财产进行分割,0,1.8913202000000003e-05,0.99998105
3,没收财产是合法财产吗？,刑罚中没收财产是没收合法财产吗,1,0.9835396999999999,0.016460283
4,再婚能不能成为变更子女抚养权的理由,再婚，另一方能请求变更孩子抚养权吗,0,6.1686574e-06,0.9999938
5,签了3年合同，中途离职，现在公司以未满服务期为由要我支付违约金，我该给吗？,工作年限未满，想辞职，是否需要支付违约金？,0,2.3165096e-06,0.99999774
6,经过受托人的同意之后，委托人又找了别人来处理委托事件，给受托人带来了损失，那受托人能要求赔偿吗,委托人经受托人同意，在受托人之外委托第三人处理委托事务，给受托人造成损失的，受托人应该怎么办,0,9.0783346e-05,0.99990916
7,如果抵押人没有办理抵押物登记的，导致债权人受到了损失，那么抵押人应该承担赔偿损失吗,抵押人未办理抵押登记致使债权人受到损失的，抵押人应该承担什么责任,0,5.211267e-06,0.99999475
8,在给孩子买吃的时候，我们应该注意哪些事情？,在给孩子吃的时候，该注意什么问题？,0,2.4274657e-06,0.9999976
9,行人如何安全通过铁路道口,行人在通过铁路道口时的规则是什么,1,0.99806076,0.0019392042000000002
10,民间借贷纠纷中，对于负有举证证明责任的原告没有正当理由拒绝到庭的，法院应该怎么认定,民间借贷纠纷中，对于负有举证证明责任的原告无正当理由拒不到庭的，人民法院应当如何认定,1,0.9998474,0.00015253239
11,与本单位订立无固定期限劳动合同的人员在公司裁员时是否应该优先留用,用人单位裁减人员时，与本单位订立无固定期限劳动合同的人员，是否会被率先辞退,0,1.2622200000000001e-05,0.99998736
12,我在一家小公司工作了四个月，一直没有签劳动合同该怎么办？,我上班一年多了，这个小公司一直未与我签合同，我该怎么弄,1,0.9764014000000001,0.023598641
13,经营者提供的商品或服务给消费者造成财产损失的，如何确定应该承担的民事责任,经营者提供商品或者服务，造成消费者财产损害的，应当如何确定应承担的民事责任,1,0.9999579,4.2074887e-05
14,怎么区分诽谤罪和侮辱罪？,什么理解侮辱罪和诽谤罪？,0,3.397667e-05,0.999966
15,遇到被行政拘留二十天的情况，该如何处理？,行政拘留期限到了怎么办,0,0.0030191906,0.9969806999999999
16,继承人中有其遗产不足清偿债务的并且是缺乏劳动能力的，是否为该继承人保留遗产,继承人中有缺乏劳动能力又没有生活来源的人，而且他遗产不足以清偿债务，能不能为该继承人保留遗产,1,0.85581625,0.14418378
17,老婆起诉离婚一审过后还没判决，我还有扶养她的义务吗？,起诉离婚后判决前需要履行扶养义务吗,1,0.99999774,2.269158e-06
18,交通事故伤残鉴定程序有哪些,交通事故伤残鉴定如何做？,0,4.378396e-07,0.9999995
19,果树上的果实砸到路人，树的主人需要负责吗?,树上结的柿子掉下来砸人身上把人砸伤了，树主人需要负责任吗,0,1.4660889e-06,0.99999857
20,哪些行为属于寻衅滋事，应当如何处罚？,怎样认定和处罚寻衅滋事的行为,0,2.648646e-06,0.9999974
21,对继承人以外的依靠被继承人扶养的缺乏劳动能力的人在继承时是否可以分得遗产,对继承人以外的依靠被继承人扶养的缺乏劳动能力又没有生活来源的人怎么处理,0,0.21939144,0.7806086
22,无权代理人用被代理人的名义签合同，被代理人已经在履行合同约定的义务了，属于是对合同的追认吗,无权代理人以被代理人的名义订立合同，被代理人已经开始履行合同义务的，合同是否有效,0,3.1737757e-06,0.9999968000000001
23,男方婚前自己付首付买的房子并登记在自己名下，婚后用夫妻共同财产还贷，离婚时怎么处理,婚前夫妻一方以个人财产支付首付并登记在个人名下，婚后用夫妻共同财产还贷，合法吗,0,0.0009083858,0.9990916
24,相隔几代才不算近亲，可以结婚？,近亲结婚，需隔几代才不算乱轮？,0,5.6631816e-05,0.9999434000000001
25,消费者的尊严、自由、个人信息等合法权益被侵害时，有权利要求商家承担哪些责任？,消费者的人格尊严、人身自由或者个人信息的合法权利受到经营者侵害时，无权要求经营者承担哪些责任,0,8.096639999999999e-07,0.99999917
26,未成年人的父母均不具备完全民事行为能力的，该未成年人的监护人是否可以将其送养,未成年小孩的父母都没有完全民事行为能力的，其监护人可以把他送养吗？,1,0.99979526,0.00020470451000000002
27,无效或可撤销婚姻财产该如何处理,如何处理无效或者被撤销婚姻当事人同居期间所得财产,1,0.951356,0.048643976
28,离婚后孩子抚养权归男方，现在我可以要回吗,现在我想要回孩子的抚养权，能要得回来吗,0,1.3310894999999999e-06,0.9999986999999999
29,债权人仅仅对次债务人提起代位权诉讼，没有把债务人当做第三人的，法院是不是应该追加债务人,债权人以次债务人为被告提起代位权诉讼，未将债务人列为第三人的，法院有权追加债务人吗,0,5.236894e-06,0.99999475
30,什么样的条件符合领取失业金,哪种情况可以领取失业保险金？,0,3.2715348e-06,0.9999968000000001
31,发包人因为自身原因致使工程中途停建或缓建的，要承担的责任是什么,因发包人原因导致工程中途停建或缓建的，发包人应承担什么责任,1,0.99994624,5.3774880000000004e-05
32,行人想要横过道路，要遵循哪些规则,行人过马路必须遵守什么?,0,9.157447e-06,0.9999908000000002
33,我注册公司想减少注册资金，需要怎么做？,公司想要降低注册资金，请问流程是怎样的？,0,1.2150482e-06,0.9999988000000001
34,人民检察院决定逮捕犯罪嫌疑人的，执行逮捕后，公安机关应当在24小时内进行讯问吗？,犯罪嫌疑人被人民检察院确定逮捕，公安机关执行逮捕后讯问工作是不是要24小时之内进行？,1,0.9999937,6.315008e-06
35,请问我给单位要赔偿金是因为我生病长期不能去工作单位就解雇了我，那么赔偿金应该那那一天开始算呢？,我因生病不能再从事本职工作单位要和我解除劳动合同，我能要求赔偿吗？请问赔偿标准是什么,0,2.0313222e-05,0.99997973
36,咨询一下，“利滚利”的做法合法吗？,有人吧银行把利息转为本金的做法合法吗？,0,1.2725897e-06,0.9999986999999999
37,自己提出离职，用人单位给钱吗,公司需要给因私人原因离职的员工钱吗,1,0.9997298000000001,0.00027013847000000003
38,股东可以委托律师参加股东大会吗？,请问律师可以代替股东参加股东大会么？,1,0.9999988000000001,1.1552328e-06
39,债权人起诉债务人的诉讼裁决尚未正式生效，那受理代位权诉讼的法院是不是应该正常审理代位权诉讼,受理代位权诉讼的法院在债权人起诉债务人的诉讼裁决发生法律效力以前是否正常审理代位权诉讼,1,0.86543196,0.13456796
40,食品生产经营使用的洗涤剂，消毒剂应当符合什么要求,食品生产企业用洗涤剂，消毒剂有哪些？,0,1.2718575e-05,0.99998724
41,诈骗罪的罚金标准是怎样规定的？,诈骗罪的罚金怎么计算,0,0.006468664,0.9935314000000001
42,我想横穿道路要遵循什么规则,行人过马路必须遵守什么?,0,1.3618798e-06,0.9999986999999999
43,涉案金钱达到多少可以立案盗窃罪,盗窃金额多少以上算刑事案件,0,0.004138749000000001,0.99586123
44,劳务派遣单位和用工单位是否可以向劳动者收取费用,劳务派遣单位和用工单位能向劳动者收取费用吗？,1,0.99496716,0.005032865300000001
45,我现在处于工伤治疗期间，但是企业没有给我申请认定，公司该发吗？,我再工作中受了伤，单位没有申请工伤认定只给开基本工资对吗？,0,1.1192203e-06,0.9999988999999999
46,合同中约定在职员工在外兼职需赔偿公司损失，有效吗？,在职员工在外兼职需赔偿公司损失，有效吗,0,0.44809329999999997,0.5519066999999999
47,把纸质证据拍成照片可以当证据吗,照片能做为证据吗，,0,0.006869224,0.99313074
48,我在健身房健身，想要退费的时候，健身房要扣除我一部分的课程费，这么做合理么？,"在健身房上了一次课,却只能退一半的培训费,请问健身房这样做合理吗",0,9.7061165e-06,0.99999034
49,协议离婚后我还能起诉撤销财产分割协议么,男女双方协议离婚后是否可以请求变更或者撤销共同财产协议,0,0.013084189,0.9869158000000001
50,服务期未满，我要求辞职，公司要求我支付违约金，我应该给吗？,工作年限未满，想辞职，是否需要支付违约金？,0,5.1529827e-07,0.9999995
51,家中有残疾的兄弟姐妹，需要对他们进行扶养吗,父母健在，需要对残疾的兄弟姐妹进行扶养吗,0,2.8496960000000003e-06,0.99999714
52,商家违法经营，侵害消费者权益，已经构成犯罪的，能追究刑事责任吗,经营者违法提供商品或者服务，侵害消费者合法权益，构成犯罪的，是否能追究其刑事责任,1,0.9972445,0.002755483
53,配偶婚内出轨，受害方可以请求精神损害赔偿吗,我老公出轨了，对方男方要求赔偿精神损失费，合理吗,0,4.666563e-05,0.9999534
54,生产企业应该按照什么样的要求组织生产保健食品、特殊医学用途配方食品、婴幼儿配方乳粉,保健食品、特殊医学用途配方食品、婴幼儿配方乳粉生产企业在组织生产时要按照什么要求进行,1,0.8119443000000001,0.18805574
55,实习生加班该不该给加班费,实习生不给钱加班算违法吗？,1,0.9999355999999999,6.438631e-05
56,我装修的房子质量不行，那我申请鉴定的时间？,装饰装修工程竣工验收不合格，何时可以申请鉴定,1,0.99807173,0.0019283014000000002
57,出现担保人承担连带责任的担保合同发生纠纷，债权人向担保人主张权利的情况，哪个法院管辖应该来管理,担保人承担连带责任的担保合同发生纠纷，债权人向担保人主张权利的，应当由哪个部门管辖,0,4.9385712e-06,0.9999950999999999
58,因药品、消毒药剂等医疗用品或血液不合格造成患者损害的，患者可以向谁主张赔偿权利？,因药品、消毒药剂、医疗器械的缺陷，或者输入不合格的血液造成患者损害的，患者向医院主张赔偿的，医院能否追偿？,0,1.8266725e-06,0.9999982
59,赌博100万怎么判刑？,中国刑法开设赌场罪100万从犯如何定罪,0,2.7827332e-06,0.99999726
60,员工经常无故旷工，能否解聘,公司能解雇多次旷工的员工吗？,1,0.9999950999999999,4.844307e-06
61,行人横过道路的规则是什么,行人过马路必须遵守什么?,0,5.6536783e-06,0.9999944
62,我不交物业费，物业有权利给我停水停电吗？,因不缴物业费被物业断水断电 这合法吗？,0,4.844344e-06,0.9999950999999999
63,离婚是因为家暴的可以申请人身安全保护令吗？,因家暴离婚就可以执行人身安全保护令吗？,0,3.3991063e-07,0.99999964
64,没有结婚生下孩子怎么办？,没领结婚证生下孩子该怎么办啊?,0,0.0018692734,0.99813074
65,长期租房，有租房合同，期间遇到拆迁，会有拆迁补偿么,假如出租房若遇拆迁，房东需要赔偿吗？,0,2.5222755e-06,0.9999975
66,悬赏人公开声明对完成一定行为的人支付报酬，完成特定行为的人请求悬赏人支付报酬的，法院是否支持,公开对完成某事情的人进行悬赏，完成指定事情的人来领赏，要求悬赏人支付的，法院会支持吗,1,0.6711588,0.3288412
67,哪些行为坐车时千万不能做？,乘车人在走路时不得有哪些行为,0,4.1764446e-07,0.9999995
68,妨害行政诉讼的强制措施包括什么？,人民法院对妨害行政诉讼的行为采取强制措施有哪些,0,8.6866913e-07,0.99999917
69,抚养义务包括什么,抚养义务是什么,0,1.0308981e-06,0.9999988999999999
70,借贷双方在网络贷款平台形成得的借贷关系，网络贷款平台的提供者应当承担担保责任的情形是哪些,借贷双方通过网络贷款平台形成借贷关系，哪种情形下网络贷款平台的提供者不承担担保责任,0,0.0020059338,0.99799407
71,租赁合同中，没有经过出租人的批准承租人改善租赁物或者增设他物是不是属于违法行为？,租赁合同中，承租人改善租赁物或者增设他物的，是否应当经过出租人的同意,1,0.9999896,1.0377050999999999e-05
72,我们企业没有发给员工应该发的工资，我们是不是可以推举代表申请劳动仲裁？,企业不发员工工资，员工可以推举代表申请劳动仲裁吗？,0,8.507958999999999e-07,0.99999917
73,不服行政复议机关维持原行政机关的答复，该起诉谁？,"复议机关作出维持原判后,拟提起行政诉讼,应以谁为被告",0,7.894787e-06,0.99999213
74,对物证进行拍照可以当证据吗,照片能做为证据吗，,0,4.0758943e-07,0.99999964
75,哪个法院负责管辖担保人承担连带责任的担保合同发生纠纷，债权人向担保人主张权利的案件？,担保人承担连带责任的担保合同发生纠纷，债权人向担保人主张权利的，应当由哪个部门管辖,0,0.00013633734,0.9998636000000001
76,周末在家休息受伤属于工伤吗,在单位休息时间受伤算工伤吗,0,8.545218e-07,0.99999917
77,销售方提供有关商品或者服务的信息给消费者，是否应该面面俱到且童叟无欺?,在消费者权益保护法中规定经营者在向消费者宣传有关信息时应该真实全面不虚假吗,0,0.00063970423,0.99936026
